1AAAPASSAAAApplication  open successfully  & URL is: https://dynamics-fut.toastmasters.org/AAA14:58:42AAA14:58:59AAA17
4AAAPASSAAAUser Successfully login and display logout link is visibale on screen.AAA14:58:59AAA14:59:18AAA19
24AAAPASSAAAUser Successfully landing on Club Central page.AAA14:59:18AAA14:59:30AAA12
25AAAPASSAAAUser not getting negative data result -with InvalidName & MemberEmailID.AAA14:59:30AAA14:59:45AAA15
nullAAAFAILAAAException: [com.kms.katalon.core.webui.keyword.internal.WebUIKeywordMain.stepFailed(WebUIKeywordMain.groovy:64), com.kms.katalon.core.webui.keyword.internal.WebUIKeywordMain.runKeyword(WebUIKeywordMain.groovy:26), com.kms.katalon.core.webui.keyword.builtin.ClickKeyword.click(ClickKeyword.groovy:74), com.kms.katalon.core.webui.keyword.builtin.ClickKeyword.execute(ClickKeyword.groovy:40), com.kms.katalon.core.keyword.internal.KeywordExecutor.executeKeywordForPlatform(KeywordExecutor.groovy:74), com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.click(WebUiBuiltInKeywords.groovy:620), com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords$click$4.call(Unknown Source), TC002_PositiveMemberIDNoDualReinstated.run(TC002_PositiveMemberIDNoDualReinstated:37), com.kms.katalon.core.main.ScriptEngine.run(ScriptEngine.java:194), com.kms.katalon.core.main.ScriptEngine.runScriptAsRawText(ScriptEngine.java:119), com.kms.katalon.core.main.TestCaseExecutor.runScript(TestCaseExecutor.java:442), com.kms.katalon.core.main.TestCaseExecutor.doExecute(TestCaseExecutor.java:433), com.kms.katalon.core.main.TestCaseExecutor.processExecutionPhase(TestCaseExecutor.java:412), com.kms.katalon.core.main.TestCaseExecutor.accessMainPhase(TestCaseExecutor.java:404), com.kms.katalon.core.main.TestCaseExecutor.execute(TestCaseExecutor.java:281), com.kms.katalon.core.main.TestSuiteExecutor.accessTestCaseMainPhase(TestSuiteExecutor.java:202), com.kms.katalon.core.main.TestSuiteExecutor.accessTestSuiteMainPhase(TestSuiteExecutor.java:164), com.kms.katalon.core.main.TestSuiteExecutor.execute(TestSuiteExecutor.java:105), com.kms.katalon.core.main.TestCaseMain.startTestSuite(TestCaseMain.java:185), com.kms.katalon.core.main.TestCaseMain$startTestSuite$0.call(Unknown Source), TempTestSuite1648632518320.run(TempTestSuite1648632518320.groovy:36)]AAA14:59:45AAA15:00:23AAA38
nullAAAFAILAAAException: [com.kms.katalon.core.webui.keyword.internal.WebUIKeywordMain.stepFailed(WebUIKeywordMain.groovy:64), com.kms.katalon.core.webui.keyword.internal.WebUIKeywordMain.runKeyword(WebUIKeywordMain.groovy:26), com.kms.katalon.core.webui.keyword.builtin.SelectOptionByLabelKeyword.selectOptionByLabel(SelectOptionByLabelKeyword.groovy:98), com.kms.katalon.core.webui.keyword.builtin.SelectOptionByLabelKeyword.execute(SelectOptionByLabelKeyword.groovy:71), com.kms.katalon.core.keyword.internal.KeywordExecutor.executeKeywordForPlatform(KeywordExecutor.groovy:74), com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.selectOptionByLabel(WebUiBuiltInKeywords.groovy:1230), com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords$selectOptionByLabel$9.call(Unknown Source), TC003_Add Membership Address.run(TC003_Add Membership Address:26), com.kms.katalon.core.main.ScriptEngine.run(ScriptEngine.java:194), com.kms.katalon.core.main.ScriptEngine.runScriptAsRawText(ScriptEngine.java:119), com.kms.katalon.core.main.TestCaseExecutor.runScript(TestCaseExecutor.java:442), com.kms.katalon.core.main.TestCaseExecutor.doExecute(TestCaseExecutor.java:433), com.kms.katalon.core.main.TestCaseExecutor.processExecutionPhase(TestCaseExecutor.java:412), com.kms.katalon.core.main.TestCaseExecutor.accessMainPhase(TestCaseExecutor.java:404), com.kms.katalon.core.main.TestCaseExecutor.execute(TestCaseExecutor.java:281), com.kms.katalon.core.main.TestSuiteExecutor.accessTestCaseMainPhase(TestSuiteExecutor.java:202), com.kms.katalon.core.main.TestSuiteExecutor.accessTestSuiteMainPhase(TestSuiteExecutor.java:164), com.kms.katalon.core.main.TestSuiteExecutor.execute(TestSuiteExecutor.java:105), com.kms.katalon.core.main.TestCaseMain.startTestSuite(TestCaseMain.java:185), com.kms.katalon.core.main.TestCaseMain$startTestSuite$0.call(Unknown Source), TempTestSuite1648632518320.run(TempTestSuite1648632518320.groovy:36)]AAA15:00:23AAA15:00:25AAA2
